stage,chain,draw,diverging
base,0,642,False
base,0,643,False
base,0,644,False
base,0,645,False
base,0,646,False
base,0,647,False
base,0,648,False
base,0,649,False
base,0,650,False
base,0,651,False
base,0,652,False
base,0,653,False
base,0,654,False
base,0,655,False
base,0,656,False
base,0,657,False
base,0,658,False
base,0,659,False
base,0,660,False
base,0,661,False
base,0,662,False
base,0,663,False
base,0,664,False
base,0,665,False
base,0,666,False
base,0,667,False
base,0,668,False
base,0,669,False
base,0,670,False
base,0,671,False
base,0,672,False
base,0,673,False
base,0,674,False
base,0,675,False
base,0,676,False
base,0,677,False
base,0,678,False
base,0,679,False
base,0,680,False
base,0,681,False
base,0,682,False
base,0,683,False
base,0,684,False
base,0,685,False
base,0,686,False
base,0,687,False
base,0,688,False
base,0,689,False
base,0,690,False
base,0,691,False
base,0,692,False
base,0,693,False
base,0,694,False
base,0,695,False
base,0,696,False
base,0,697,False
base,0,698,False
base,0,699,False
base,0,700,False
base,0,701,False
base,0,702,False
base,0,703,False
base,0,704,False
base,0,705,False
base,0,706,False
base,0,707,False
base,0,708,False
base,0,709,False
base,0,710,False
base,0,711,False
base,0,712,False
base,0,713,False
base,0,714,False
base,0,715,False
base,0,716,False
base,0,717,False
base,0,718,False
base,0,719,False
base,0,720,False
base,0,721,False
base,0,722,False
base,0,723,False
base,0,724,False
base,0,725,False
base,0,726,False
base,0,727,False
base,0,728,False
base,0,729,False
base,0,730,False
base,0,731,False
base,0,732,False
base,0,733,False
base,0,734,False
base,0,735,False
base,0,736,False
base,0,737,False
base,0,738,False
base,0,739,False
base,0,740,False
base,0,741,False
base,0,742,False
base,0,743,False
base,0,744,False
base,0,745,False
base,0,746,False
base,0,747,False
base,0,748,False
base,0,749,False
base,0,750,False
base,0,751,False
base,0,752,False
base,0,753,False
base,0,754,False
base,0,755,False
base,0,756,False
base,0,757,False
base,0,758,False
base,0,759,False
base,0,760,False
base,0,761,False
base,0,762,False
base,0,763,False
base,0,764,False
base,0,765,False
base,0,766,False
base,0,767,False
base,0,768,False
base,0,769,False
base,0,770,False
base,0,771,False
base,0,772,False
base,0,773,False
base,0,774,False
base,0,775,False
base,0,776,False
base,0,777,False
base,0,778,False
base,0,779,False
base,0,780,False
base,0,781,False
base,0,782,False
base,0,783,False
base,0,784,False
base,0,785,False
base,0,786,False
base,0,787,False
base,0,788,False
base,0,789,False
base,0,790,False
base,0,791,False
base,0,792,False
base,0,793,False
base,0,794,False
base,0,795,False
base,0,796,False
base,0,797,False
base,0,798,False
base,0,799,False
base,0,800,False
base,0,801,False
base,0,802,False
base,0,803,False
base,0,804,False
base,0,805,False
base,0,806,False
base,0,807,False
base,0,808,False
base,0,809,False
base,0,810,False
base,0,811,False
base,0,812,False
base,0,813,False
base,0,814,False
base,0,815,False
base,0,816,False
base,0,817,False
base,0,818,False
base,0,819,False
base,0,820,False
base,0,821,False
base,0,822,False
base,0,823,False
base,0,824,False
base,0,825,False
base,0,826,False
base,0,827,False
base,0,828,False
base,0,829,False
base,0,830,False
base,0,831,False
base,0,832,False
base,0,833,False
base,0,834,False
base,0,835,False
base,0,836,False
base,0,837,False
base,0,838,False
base,0,839,False
base,0,840,False
base,0,841,False
base,0,842,False
base,0,843,False
base,0,844,False
base,0,845,False
base,0,846,False
base,0,847,False
base,0,848,False
base,0,849,False
base,0,850,False
base,0,851,False
base,0,852,False
base,0,853,False
base,0,854,False
base,0,855,False
base,0,856,False
base,0,857,False
base,0,858,False
base,0,859,False
